project_name,country,generation_size,customer_segment,mounting_type,panel_count,commission_date,re_contribution,partners
Balama,Mozambique,11.2 MWp,Mining,Ground,,Q2 2023,35%,Solarcentury Africa
QMM – Rio Tinto,Madagascar,11.2 MWp,Mining,Ground,,Q2 2023,16%,"Soventix, Dhybrid and Ferris Engineering"
Nigerian Breweries Ama,Nigeria,4 MWp,Beverages,Ground,,Q1 2023,22%,Soventix
Baidoa,Somalia,2.9 MWp,Humanitarian,Ground,,Q3 2023,90%,"Soventix, DHybrid, Vinje"
Molo Graphite Solar,Madagascar,2.7 MWp,Mining,Ground,,Q2 2023,30%,"USP&E; Soventix, Dhybrid and Ferris Engineering"
Nigerian Breweries Ibadan Expansion,Nigeria,2.5 MWp,Beverages,Ground,,Q1 2024,20%,Soventix
Binduli Mine,Australia,2.4 MWp,Mining,Ground,,July 2023,10%,"Cambridge Energy, ResourcesWA"
National Cement Nakuru,Kenya,2.2 MWp,Cement/Concrete,Ground,,Q1 2024,9%,Soventix
Brush Manufacturers,Kenya,1.5 MWp,Manufacturing,Roof,,Q1 2023,27%,Illumina Africa
Guinness Ghana Breweries Ltd.,Ghana,1.1 MWp,Beverages,Roof,3100,Q1 2021,20%,AB Solar
Unilever Ghana Ltd.,Ghana,1 MWp,Consumer Goods,Roof,3633,Q1 2021,15%,Solarcentury Africa
IVLD Phase 1,Egypt,1 MWp,Petrochemical,Roof,,Q2 2023,3.00%,TBD
Garden City,Kenya,0.9 MWp,Real Estate,Carport,3366,Q3 2016,24%,Solarcentury Africa
Kasapreko Phase 2,Ghana,0.90 MWp,Beverages,Roof,,Q3 2023,19%,TBD
Zoodlabs,Sierra Leone,0.8 MWp,Telecom,Roof,,Q2 2023,90%,NETIS
Nigerian Breweries Ibadan,Nigeria,0.7 MWp,Beverages,Roof,1680,Q1 2021,4%,Topec
Unilever Tea Kenya,Kenya,0.6 MWp,Agriculture,Ground,1904,Q3 2019,10%,Solarcentury Africa
Jabi Lake Mall,Nigeria,0.6 MWp,Real Estate,Roof,1848,Q2 2020,24%,Soventix
Kasapreko Phase 1,Ghana,0.4 MWp,Beverages,Roof,1540,Q4 2018,7%,Namene Solar
XFlora,Kenya,0.4 MWp,Agriculture,Roof,1090,Q1 2021,35%,Spenomatic Kenya Limited
Arijiju,Kenya,0.2 MWp,Hotel,Roof,,Q2 2023,90%,Harmonics Systems
Miro Forestry,Sierra Leone,0.2 MWp,Forestry,Ground,,Q2 2023,78.00%,Powergen
Loisaba Tented Camp,Kenya,0.1 MWp,Hotel,Ground,,Q2 2016,98%,Powergen
